SL NO,District,Location Name As Per List,Location Address,Location Category,Hotspot included in Phase 
1,Thiruvananthapuram,Akkulam childrens park,"Aluvila Rd,Akkulam,Tvm,kerala 695011",Tourist Place,Phase-2
2,Thiruvananthapuram,"Amboori Panchayath Office,","amboori neyyar road, Amboori, Kerala 695505",Panchayat office,Phase-1
3,Thiruvananthapuram,Anad Panchayath Office,"Anad, Kerala 695541 / Post office at Anad Bank Junction",Panchayat office,Phase-1
4,Thiruvananthapuram,Andoorkonam Panchayath Office,"Kaniyapuram, Kerala 695301",Panchayat office,Phase-1
5,Thiruvananthapuram,APJ Abdul Kalam Technological University,"APJ Abdul Kalam Technological University CET Campus, Thiruvananthapuram,Kerala -695016",University/College,Phase-2
6,Thiruvananthapuram,Aruvikkara Dam/ Park,"Aruvikkara, Kerala 695564 , Aruvikkara park",Tourist Place,Phase-2
7,Thiruvananthapuram,Aruvikkara Grama Panchayat Office,"Keltron-Aruvikkara Rd, Aruvikkara, Kerala 695564",Panchayat office,Phase-1
8,Thiruvananthapuram,Aryanadu Bus Stand,"Nedumangad Shorlacode Road, SH3, Cherukulam, Aryanad, Kerala 695542",Bus Stand,Phase-1
9,Thiruvananthapuram,Aryancode Panchayat,"Chempoor Road, Ariyancode, Kerala 695125",Panchayat office,Phase-1
10,Thiruvananthapuram,Athiyannoor panchayath office,"Kamukincode, Kottukal, Kerala 695123",Panchayat office,Phase-2
11,Thiruvananthapuram,Athiyanoor block panchayath office,"Aralumoodu, 695123",Block Office,Phase-1
12,Thiruvananthapuram,Attingal ,"Attingal Municipality, Kerala 695101",Municipal Office,Phase-1
13,Thiruvananthapuram,Attingal Bus Stand,"Attingal, Kerala 695101",Bus Stand,Phase-1
14,Thiruvananthapuram,Attingal Munsif court,"NH 47, Attingal, Kerala 695101",Court,Phase-1
15,Thiruvananthapuram,Ayurveda College,"Pulimoodu, Thiruvananthapuram, Kerala 695001",Hospital,Phase-1
16,Thiruvananthapuram,Ayurveda Marma Hospital- Kanjiramkulam,"Kanjiramkulam, Kerala 695524",Hospital,Phase-1
17,Thiruvananthapuram,Azhoor Grama Panchayat,"Perunguzhy p.o, kovilnada,, Kerala 695305",Panchayat office,Phase-1
18,Thiruvananthapuram,BALARAMAPURAM,"Balaramapuram Libraray,BALARAMAPURAM,Near Police station , Thiruvananthapuram",Library,Phase-2
19,Thiruvananthapuram,Bheemapally,"Towards OLD Road, Behind Valiyathura ,Vettukadu junction,Thiruvananthapuram, Kerala 695008",Govt Office,Phase-2
20,Thiruvananthapuram,Chalai Market,"Kerala Abkari Workers Welfare Fund Board, Thiruvananthapuram, Kerala 695036",Public Place,Phase-2
21,Thiruvananthapuram,Chemmaruthy Grama Panchayat,"Chemmaruthy, Kerala 695145",Panchayat office,Phase-1
22,Thiruvananthapuram,Chenkal Grama Panchayat,"Udiyankulangara, Kerala 695122",Panchayat office,Phase-1
23,Thiruvananthapuram,Chirayinkeezh Grama Panchayat,"Chirayinkeezhu post office Chirayinkeezhu, Kerala 695304",Panchayat office,Phase-1
24,Thiruvananthapuram,Chirayinkeezhu Block Panchayath office,"Chirayinkeezhu - Korani Rd, Kizhuvalam, Kerala 695104",Block Office,Phase-1
25,Thiruvananthapuram,Chirayinkeezhu Taluk Hospital,"Attingal Chirayinkeezhu Road, Chirayinkeezhu, Kerala 695304",Hospital,Phase-1
26,Thiruvananthapuram,Chirayinkeezhu Taluk Office,"Mini Civil Station, Chirayinkeezhu, Thiruvananthapuram, Kerala 695101",Taluk Office,Phase-1
27,Thiruvananthapuram,Civil Station 1,"Civil Station, Kudappanakunnu, Thiruvananthapuram, Kerala 695043",Civi Station/Mini Civil station,Phase-1
28,Thiruvananthapuram,Commissioner office thycaud,"police Ground, CV Raman Pillai Rd, Thycaud, Thiruvananthapuram, Kerala 695014",Govt Office,Phase-1
29,Thiruvananthapuram,Corporation office trivandrum,"Kaimanam Thiruvallam Rd, Thiruvallam, Thiruvananthapuram, Kerala 695027",Corporation  Office,Phase-2
30,Thiruvananthapuram,"Corporation office, Trivandrum","Corporation office, Trivandrum Thiruvananthapuram, Kerala 695033",Corporation  Office,Phase-1
31,Thiruvananthapuram,"Deshabimani Grandhashala, Nellimoodu","Dheshabhi Vardhini Grandhashala,Nellimoodu 695524",Library,Phase-2
32,Thiruvananthapuram,"District Model Hospital, Peroorkada","Peroorkada, Thiruvananthapuram, Kerala 695013",Hospital,Phase-1
33,Thiruvananthapuram,East Fort Bus stand,"Mahathma Gandhi Rd, East Fort, Pazhavangadi, Thiruvananthapuram, Kerala 695036",Bus Stand,Phase-1
34,Thiruvananthapuram,Edava Grama Panchayat,"Panchayath Office Edava, Varkala Edava Kappil Road, Vettakada, Edava, Kerala",Panchayat office,Phase-2
35,Thiruvananthapuram,Family health centre Karakulam,"near travancore gold, Vattappara, Kerala-695028",Hospital,Phase-2
36,Thiruvananthapuram,Fort Hospital," East Fort, Pazhavangadi, Thiruvananthapuram, Kerala 695023",Hospital,Phase-1
37,Thiruvananthapuram,Gandhi Park- East fort,"East Fort, Pazhavangadi Thiruvananthapuram, Kerala 695036",Park,Phase-2
38,Thiruvananthapuram,General Hospital,"Thiruvananthapuram, Kerala 695035",Hospital,Phase-1
39,Thiruvananthapuram,Government Taluk Hospital Varkala,"Temple Rd, Varkala Maithanam Town, Thiruvananthapuram, Kerala 695141",Hospital,Phase-2
40,Thiruvananthapuram,Govt. Homeopathic Medical college Hospital Iranimuttom,"Iranimuttom, Manacaud P.O, Attukal, Chiramukku, Thiruvananthapuram, Kerala 695009",Hospital,Phase-1
41,Thiruvananthapuram,Kadakkavoor Grama Panchayat,"Alamcode Kadakkavoor Anjengo Road, Kadakkavoor, Kerala 695306",Panchayat office,Phase-1
42,Thiruvananthapuram,Kadinamkulam Panchayath Office,"Vettu Rd, Menamkulam, Kerala 695301",Panchayat office,Phase-1
43,Thiruvananthapuram,Kallara Grama Panchayath Office,"Kallara , Kallara post office opp to market 695608",Panchayat office,Phase-1
44,Thiruvananthapuram,Kallikkad Grama Panchayat,"Thiruvananthapuram, Kerala 695001",Panchayat office,Phase-1
45,Thiruvananthapuram,Kalliyoor Grama Panchayat,"Nemom Punnamoodu Rd, Kalliyoor, Kerala 695042",Panchayat office,Phase-1
46,Thiruvananthapuram,Kanakakunnu Palace,"Thiruvananthapuram, Kerala 695033",Tourist Place,Phase-1
47,Thiruvananthapuram,Kaniyapuram Bus Stand,"Salem - Kochi Hwy, Kaniyapuram, Kerala 695301",Bus Stand,Phase-1
48,Thiruvananthapuram,KANJIRAMKULAM Junction,"Kanjiramkulam Govt School, Kanjiramkulam Pulluvila Road, Kanjiramkulam, Kerala",Public Place,Phase-2
49,Thiruvananthapuram,Kappil boat club,"Priyadarshani boat club,Kappil,,kerala 695311",Tourist Place,Phase-2
50,Thiruvananthapuram,Karakulam Grama Panchayat,"Nedumangad Aruvikkara rd,Karakulam,Thiruanathapuram,Kerala 695564",Panchayat office,Phase-1
51,Thiruvananthapuram,Karode Grama Panchayat office,"Karode Grama Panchayat office,Kulathoor, Kerala 695506",Panchayat office,Phase-1
52,Thiruvananthapuram,Karumkulam Grama Panchayat,"Lourdpuram Road, Puthiyathura, Kerala 695526",Panchayat office,Phase-2
53,Thiruvananthapuram,Kattakada Bus Stand,"Thiruvananthapuram - Neyyar Dam Rd, Kattakkada, Kerala 695572",Bus Stand,Phase-1
54,Thiruvananthapuram,Kattakada Gramapanchayat,"College Rd, Kattakkada, Thiruvananthapuram, Kerala 695572",Panchayat office,Phase-1
55,Thiruvananthapuram,Kattakkada Community Health Center,"Kattakkada Thaluk Hospital,Thiruvananthapuram - Neyyar Dam Rd, Kattakkada, Kerala 695572",Hospital,Phase-2
56,Thiruvananthapuram,Kazhakootam -Technopark,"Technopark entrance ,Technopark Campus, Kazhakkoottam, Kerala 695581",Public Place,Phase-2
57,Thiruvananthapuram,Keltron Junction,"Karakulam Farmers Social Welfare Sahakarana Sangham, Keltron Junction, Karakulam, Thiruvananthapuram, Kerala",Govt Office,Phase-2
58,Thiruvananthapuram,"Kerala University, Palayam","Palayam, Thiruvananthapuram, Kerala 695034",University/College,Phase-1
59,Thiruvananthapuram,Kilimanoor Bus Stand,"Old MC Rd, Kilimanoor, Kerala 695601",Bus Stand,Phase-1
60,Thiruvananthapuram,Kilimanoor Panchayath,"Near Govt LP School, Kilimanoor, Kerala 695601",Panchayat office,Phase-1
61,Thiruvananthapuram,Killipalam,"Tax Towers , Karamana, Thiruvananthapuram, Kerala 695002",Govt Office,Phase-1
62,Thiruvananthapuram,Kollayil Grama Panchayat,"Dhanuvechapuram, Kerala,695503",Panchayat office,Phase-1
